_10_14_mcg_dl,_15_19_mcg_dl,_2000_population_of_children_6_and_under,_20_24_mcg_dl,_25_44_mcg_dl,_45_mcg_dl,county,total_tested,lrate1,lrate2,lrate3,lrate4,lrate5,lscore,Year
3,1,1228,0,0,0,Ford,71,42.25352113,14.08450704,0,0,0,63.38028169,2006
4,2,3235,1,1,0,Franklin,401,9.975062344,4.987531172,2.493765586,2.493765586,0,29.92518703,2006
9,3,2836,0,0,2,Fulton,439,20.50113895,6.833712984,0,0,4.555808656,53.53075171,2006
3,0,472,0,0,0,Gallatin,134,22.3880597,0,0,0,0,22.3880597,2006
3,0,1224,0,0,0,Greene,305,9.836065574,0,0,0,0,9.836065574,2006
1,1,3928,0,1,0,Grundy,353,2.83286119,2.83286119,0,2.83286119,0,15.58073655,2006
4,0,627,0,0,0,Hamilton,110,36.36363636,0,0,0,0,36.36363636,2006
11,4,1380,1,1,1,Hancock,432,25.46296296,9.259259259,2.314814815,2.314814815,2.314814815,62.5,2006
2,2,348,0,0,1,Hardin,51,39.21568627,39.21568627,0,0,19.60784314,196.0784314,2006
2,0,498,0,0,0,Henderson,125,16,0,0,0,0,16,2006
7,4,3959,4,3,1,Henry,890,7.865168539,4.494382022,4.494382022,3.370786517,1.123595506,39.3258427,2006
16,1,2432,0,1,1,Iroquois,329,48.63221884,3.039513678,0,3.039513678,3.039513678,77.50759878,2006
8,2,4238,1,0,0,Jackson,955,8.376963351,2.094240838,1.047120419,0,0,13.61256545,2006
0,1,823,1,0,0,Jasper,125,0,8,8,0,0,28,2006
1,1,3236,0,1,0,Jefferson,557,1.795332136,1.795332136,0,1.795332136,0,9.874326748,2006
4,0,1670,0,0,0,Jersey,354,11.29943503,0,0,0,0,11.29943503,2006
2,0,1643,0,0,0,Jo Daviess,146,13.69863014,0,0,0,0,13.69863014,2006
0,0,918,0,0,0,Johnson,87,0,0,0,0,0,0,2006
213,56,56926,30,30,1,Kane,10211,20.85985702,5.484281657,2.938008031,2.938008031,0.097933601,44.26598767,2006
38,7,10534,0,2,1,Kankakee,2574,14.76301476,2.71950272,0,0.777000777,0.388500389,23.11577312,2006
1,2,8217,0,0,0,Kendall,411,2.433090024,4.866180049,0,0,0,9.732360098,2006
36,13,4157,5,6,0,Knox,899,40.04449388,14.46051168,5.561735261,6.674082314,0,92.88097886,2006
46,16,73888,5,5,1,Lake,8669,5.306263698,1.845656939,0.576767793,0.576767793,0.115353559,11.53535587,2006
16,3,9755,3,0,0,LaSalle,1177,13.59388275,2.548853016,2.548853016,0,0,22.51486831,2006
9,2,1134,2,1,0,Lawrence,415,21.68674699,4.819277108,4.819277108,2.409638554,0,45.78313253,2006
8,2,2546,3,1,1,Lee,269,29.73977695,7.434944238,11.15241636,3.717472119,3.717472119,92.93680298,2006
29,4,3500,0,2,1,Livingston,832,34.85576923,4.807692308,0,2.403846154,1.201923077,55.28846154,2006
8,4,2246,0,1,0,Logan,339,23.59882006,11.79941003,0,2.949852507,0,50.14749263,2006
4,4,1848,0,1,1,McDonough,340,11.76470588,11.76470588,0,2.941176471,2.941176471,52.94117647,2006
16,5,29768,0,1,1,McHenry,2294,6.974716652,2.179598954,0,0.435919791,0.435919791,13.73147341,2006
18,4,13918,3,1,0,McLean,2014,8.937437934,1.986097319,1.489572989,0.49652433,0,16.38530288,2006
126,25,9868,7,7,1,Macon,2982,42.25352113,8.383635144,2.34741784,2.34741784,0.335345406,68.24279008,2006
12,1,3897,0,1,1,Macoupin,548,21.89781022,1.824817518,0,1.824817518,1.824817518,39.23357664,2006
39,18,22293,4,1,2,Madison,2665,14.63414634,6.754221388,1.500938086,0.375234522,0.750469043,32.64540338,2006
9,1,3439,0,0,0,Marion,700,12.85714286,1.428571429,0,0,0,15,2006
1,1,981,1,1,1,Marshall,114,8.771929825,8.771929825,8.771929825,8.771929825,8.771929825,109.6491228,2006
7,3,1314,1,0,0,Mason,274,25.54744526,10.94890511,3.649635036,0,0,49.270073,2006
0,0,1349,0,0,0,Massac,155,0,0,0,0,0,0,2006
0,0,951,0,0,0,Menard,97,0,0,0,0,0,0,2006
14,1,1323,2,0,0,Mercer,333,42.04204204,3.003003003,6.006006006,0,0,58.55855856,2006
1,0,2525,0,0,0,Monroe,198,5.050505051,0,0,0,0,5.050505051,2006
6,0,2298,0,0,0,Montgomery,515,11.65048544,0,0,0,0,11.65048544,2006
18,9,2769,4,1,0,Morgan,601,29.95008319,14.9750416,6.655574043,1.663893511,0,70.71547421,2006
2,0,1261,0,0,0,Moultrie,130,15.38461538,0,0,0,0,15.38461538,2006
6,2,4309,1,0,0,Ogle,309,19.41747573,6.472491909,3.236245955,0,0,35.5987055,2006
142,52,18178,21,16,0,Peoria,2856,49.71988796,18.20728291,7.352941176,5.602240896,0,108.5434174,2006
5,1,1721,1,0,0,Perry,316,15.82278481,3.164556962,3.164556962,0,0,26.89873418,2006
4,1,1291,0,1,0,Piatt,188,21.27659574,5.319148936,0,5.319148936,0,45.21276595,2006
9,2,1315,2,0,0,Pike,325,27.69230769,6.153846154,6.153846154,0,0,49.23076923,2006
0,0,234,0,0,0,Pope,22,0,0,0,0,0,0,2006
0,2,644,0,1,0,Pulaski,91,0,21.97802198,0,10.98901099,0,65.93406594,2006
0,1,433,0,0,0,Putnam,45,0,22.22222222,0,0,0,33.33333333,2006
11,0,2559,0,0,0,Randolph,378,29.1005291,0,0,0,0,29.1005291,2006
2,1,1290,0,0,0,Richland,289,6.920415225,3.460207612,0,0,0,12.11072664,2006
115,34,13472,6,12,3,Rock Island,4061,28.31814824,8.372322088,1.477468604,2.954937208,0.738734302,56.39005171,2006
139,35,25318,8,7,0,St. Clair,5543,25.07667328,6.314270251,1.443261772,1.26285405,0,41.22316435,2006
9,3,2163,1,0,0,Saline,539,16.69758813,5.565862709,1.85528757,0,0,28.75695733,2006
61,17,17656,12,13,1,Sangamon,3093,19.7219528,5.496281927,3.879728419,4.203039121,0.323310702,49.9515034,2006
0,0,543,0,0,0,Schuyler,87,0,0,0,0,0,0,2006
6,1,397,0,0,0,Scott,102,58.82352941,9.803921569,0,0,0,73.52941176,2006
5,2,1695,0,0,0,Shelby,308,16.23376623,6.493506494,0,0,0,25.97402597,2006
3,1,499,1,1,0,Stark,132,22.72727273,7.575757576,7.575757576,7.575757576,0,71.96969697,2006
36,17,4079,8,4,0,Stephenson,1116,32.25806452,15.23297491,7.168458781,3.584229391,0,80.19713262,2006
13,3,10969,0,0,0,Tazewell,1885,6.896551724,1.591511936,0,0,0,9.283819628,2006
2,3,1459,2,3,0,Union,382,5.235602094,7.853403141,5.235602094,7.853403141,0,51.04712042,2006
37,11,7650,1,3,1,Vermilion,1145,32.31441048,9.6069869,0.873362445,2.620087336,0.873362445,60.69868995,2006
7,3,988,0,0,0,Wabash,280,25,10.71428571,0,0,0,41.07142857,2006
6,0,1380,0,1,0,Warren,236,25.42372881,0,0,4.237288136,0,38.13559322,2006
2,0,1165,1,0,0,Washington,101,19.8019802,0,9.900990099,0,0,39.6039604,2006
12,3,1352,0,0,0,Wayne,416,28.84615385,7.211538462,0,0,0,39.66346154,2006
8,1,1102,1,0,0,White,246,32.5203252,4.06504065,4.06504065,0,0,46.74796748,2006
16,1,5166,2,2,0,Whiteside,1289,12.41272304,0.77579519,1.55159038,1.55159038,0,21.33436773,2006
44,9,67427,0,6,1,Will,5186,8.484381026,1.735441573,0,1.156961049,0.192826841,15.52256074,2006
0,0,5205,0,0,0,Williamson,438,0,0,0,0,0,0,2006
75,32,27879,12,9,1,Winnebago,4279,17.52745969,7.4783828,2.80439355,2.103295162,0.233699462,41.83220379,2006
6,0,3036,0,0,0,Woodford,244,24.59016393,0,0,0,0,24.59016393,2006
33,7,5652,0,5,1,Adams,985,33.50253807,7.106598985,0,5.076142132,1.015228426,64.46700508,2005
7,1,889,0,1,0,Alexander,190,36.84210526,5.263157895,0,5.263157895,0,60.52631579,2005
3,5,1425,1,0,0,Bond,319,9.404388715,15.67398119,3.134796238,0,0,39.18495298,2005
9,0,4735,2,2,2,Boone,638,14.10658307,0,3.134796238,3.134796238,3.134796238,45.45454545,2005
1,0,410,0,0,0,Brown,71,14.08450704,0,0,0,0,14.08450704,2005
6,2,3015,0,1,0,Bureau,469,12.79317697,4.264392324,0,2.132196162,0,25.58635394,2005
